tradingsymbol,exchange,name,instrument_token,segment,tick_size,lot_size,instrument_type,sector,industry,is_fo_enabled,is_active
UPL,NSE,UPL,2889473,NSE,0.05,1,STOCK,Chemicals,Chemicals,1,1
AFFLE,NSE,AFFLE 3I,2903809,NSE,0.1,1,STOCK,Information Technology,Information Technology,0,1
PETRONET,NSE,PETRONET LNG,2905857,NSE,0.05,1,STOCK,Oil Gas & Consumable Fuels,Oil Gas & Consumable Fuels,1,1
BIOCON,NSE,BIOCON,2911489,NSE,0.05,1,STOCK,Healthcare,Healthcare,1,1
MAHABANK,NSE,BANK OF MAHARASHTRA,2912513,NSE,0.01,1,STOCK,Financial Services,Financial Services,0,1
POONAWALLA,NSE,POONAWALLA FINCORP,2919169,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
RKFORGE,NSE,RAMKRISHNA FORGINGS,2921217,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
CCL,NSE,CCL PRODUCTS (I),2931713,NSE,0.1,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
LT,NSE,LARSEN & TOUBRO,2939649,NSE,0.1,1,STOCK,Construction,Construction,1,1
APARINDS,NSE,APAR INDUSTRIES,2941697,NSE,1.0,1,STOCK,Capital Goods,Capital Goods,0,1
ULTRACEMCO,NSE,ULTRATECH CEMENT,2952193,NSE,1.0,1,STOCK,Construction Materials,Construction Materials,1,1
TCS,NSE,TATA CONSULTANCY SERV LT,2953217,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
COFORGE,NSE,COFORGE,2955009,NSE,0.1,1,STOCK,Information Technology,Information Technology,1,1
PPLPHARMA,NSE,PIRAMAL PHARMA,2962177,NSE,0.01,1,STOCK,Healthcare,Healthcare,0,1
FORCEMOT,NSE,FORCE MOTORS,2962689,NSE,1.0,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,1,1
NTPC,NSE,NTPC,2977281,NSE,0.05,1,STOCK,Power,Power,1,1
LALPATHLAB,NSE,DR. LAL PATH LABS,2983425,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
JBMA,NSE,JBM AUTO,2983681,NSE,0.05,1,STOCK,Automobile and Auto Components,Automobile and Auto Components,0,1
ALKEM,NSE,ALKEM LABORATORIES,2995969,NSE,0.5,1,STOCK,Healthcare,Healthcare,1,1
JSWSTEEL,NSE,JSW STEEL,3001089,NSE,0.1,1,STOCK,Metals & Mining,Metals & Mining,1,1
JPPOWER,NSE,JAIPRAKASH POWER VEN.,3011329,NSE,0.01,1,STOCK,Power,Power,0,1
IIFL,NSE,IIFL FINANCE,3023105,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
WELCORP,NSE,WELSPUN CORP,3026177,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,0,1
NH,NSE,NARAYANA HRUDAYALAYA,3031041,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
GRANULES,NSE,GRANULES INDIA,3039233,NSE,0.05,1,STOCK,Healthcare,Healthcare,0,1
YESBANK,NSE,YES BANK,3050241,NSE,0.01,1,STOCK,Financial Services,Financial Services,1,1
MEDANTA,NSE,GLOBAL HEALTH,3060737,NSE,0.1,1,STOCK,Healthcare,Healthcare,0,1
BIKAJI,NSE,BIKAJI FOODS INTERN,3063297,NSE,0.05,1,STOCK,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0,1
SUZLON,NSE,SUZLON ENERGY,3076609,NSE,0.01,1,STOCK,Capital Goods,Capital Goods,1,1
FIVESTAR,NSE,FIVE-STAR BUS FIN,3080193,NSE,0.05,1,STOCK,Financial Services,Financial Services,0,1
KAYNES,NSE,KAYNES TECHNOLOGY IND,3095553,NSE,0.1,1,STOCK,Capital Goods,Capital Goods,1,1
